Frequency (Hz)	Level (dB)
750.976562	-42.853714
751.953125	-42.316265
752.929688	-43.880207
753.906250	-42.843182
754.882812	-42.719448
755.859375	-43.826351
756.835938	-43.011478
757.812500	-42.692898
758.789062	-43.250671
759.765625	-42.469276
760.742188	-42.986465
761.718750	-43.646194
762.695312	-42.982765
763.671875	-42.614864
764.648438	-42.625942
765.625000	-42.857185
766.601562	-42.976162
767.578125	-42.673103
768.554688	-42.182575
769.531250	-42.900398
770.507812	-43.228363
771.484375	-43.370285
772.460938	-43.934402
773.437500	-43.161293
774.414062	-42.564995
775.390625	-41.518677
776.367188	-42.800411
777.343750	-42.959476
778.320312	-43.338428
779.296875	-43.052361
780.273438	-43.930149
781.250000	-44.098969
782.226562	-44.429310
783.203125	-43.271996
784.179688	-42.646557
785.156250	-43.201790
786.132812	-42.851757
787.109375	-42.487926
788.085938	-41.739323
789.062500	-43.463310
790.039062	-42.746593
791.015625	-43.574066
791.992188	-42.072384
792.968750	-42.518147
793.945312	-42.694668
794.921875	-43.204269
795.898438	-42.912933
796.875000	-42.404530
797.851562	-41.330708
798.828125	-41.499027
799.804688	-42.490810
800.781250	-42.581444
801.757812	-43.188522
802.734375	-43.512470
803.710938	-43.011528
804.687500	-42.901039
805.664062	-42.077820
806.640625	-43.526203
807.617188	-43.041969
808.593750	-42.538300
809.570312	-42.248802
810.546875	-42.495804
811.523438	-44.069405
812.500000	-42.821682
813.476562	-41.861954
814.453125	-42.460091
815.429688	-42.766598
816.406250	-42.056099
817.382812	-43.056438
818.359375	-42.465534
819.335938	-42.707005
820.312500	-42.214630
821.289062	-43.213963
822.265625	-43.803383
823.242188	-42.480648
824.218750	-43.440323
825.195312	-42.209824
826.171875	-42.570934
827.148438	-41.926983
828.125000	-44.000854
829.101562	-43.016167
830.078125	-42.841766
831.054688	-42.396580
832.031250	-42.778305
833.007812	-43.392807
833.984375	-42.672745
834.960938	-43.467865
835.937500	-43.670593
836.914062	-42.918331
837.890625	-43.912327
838.867188	-42.788734
839.843750	-43.622944
840.820312	-43.683701
841.796875	-42.878250
842.773438	-43.366997
843.750000	-43.152607
844.726562	-42.056652
845.703125	-43.089485
846.679688	-43.316711
847.656250	-42.268059
848.632812	-42.568352
849.609375	-42.459118
850.585938	-42.781151
851.562500	-43.081707
852.539062	-42.528271
853.515625	-43.034180
854.492188	-42.835285
855.468750	-42.859524
856.445312	-42.442497
857.421875	-42.020279
858.398438	-43.379154
859.375000	-43.034958
860.351562	-42.660831
861.328125	-42.891605
862.304688	-42.310425
863.281250	-43.736336
864.257812	-42.261784
865.234375	-43.675587
866.210938	-42.656563
867.187500	-43.419712
868.164062	-42.384033
869.140625	-42.010624
870.117188	-41.778236
871.093750	-42.100700
