Frequency (Hz)	Level (dB)
661.132812	-77.246109
662.109375	-76.799103
663.085938	-75.981445
664.062500	-76.069473
665.039062	-75.745064
666.015625	-76.204536
666.992188	-77.277039
667.968750	-77.460976
668.945312	-77.246712
669.921875	-76.796585
670.898438	-76.641022
671.875000	-75.825935
672.851562	-75.470123
673.828125	-76.086670
674.804688	-76.461113
675.781250	-77.494598
676.757812	-75.837143
677.734375	-76.336349
678.710938	-75.802429
679.687500	-76.684143
680.664062	-74.424477
681.640625	-74.430275
682.617188	-74.853371
683.593750	-74.283646
684.570312	-74.799591
685.546875	-74.210800
686.523438	-75.052696
687.500000	-75.202057
688.476562	-74.165375
689.453125	-73.712418
690.429688	-75.780098
691.406250	-74.706207
692.382812	-73.918648
693.359375	-73.599869
694.335938	-73.618637
695.312500	-74.299980
696.289062	-75.164230
697.265625	-72.429733
698.242188	-72.767532
699.218750	-73.184723
700.195312	-72.452812
701.171875	-71.495430
702.148438	-72.075226
703.125000	-70.862167
704.101562	-70.284508
705.078125	-71.046715
706.054688	-70.393143
707.031250	-70.540558
708.007812	-70.422562
708.984375	-69.912956
709.960938	-69.975250
710.937500	-68.219749
711.914062	-68.046783
712.890625	-68.462708
713.867188	-66.664627
714.843750	-67.944336
715.820312	-66.480423
716.796875	-66.400597
717.773438	-65.586792
718.750000	-65.155304
719.726562	-65.444229
720.703125	-64.568001
721.679688	-63.343098
722.656250	-63.819016
723.632812	-63.024223
724.609375	-61.842625
725.585938	-60.790752
726.562500	-60.760288
727.539062	-61.978195
728.515625	-60.872704
729.492188	-61.715549
730.468750	-60.793503
731.445312	-60.497749
732.421875	-61.698441
733.398438	-62.592316
734.375000	-61.675671
735.351562	-63.344719
736.328125	-63.948338
737.304688	-64.381386
738.281250	-63.933430
739.257812	-64.610336
740.234375	-65.112473
741.210938	-66.671898
742.187500	-65.372070
743.164062	-65.660355
744.140625	-68.204285
745.117188	-67.362129
746.093750	-67.565186
747.070312	-68.442604
748.046875	-68.612495
749.023438	-69.733597
750.000000	-70.201874
750.976562	-69.676826
751.953125	-69.519356
752.929688	-71.301842
753.906250	-71.520157
754.882812	-70.759216
755.859375	-71.120804
756.835938	-72.519928
757.812500	-72.350510
758.789062	-72.041443
759.765625	-71.825706
760.742188	-72.517784
761.718750	-72.904457
762.695312	-72.915771
763.671875	-73.218475
764.648438	-72.623642
765.625000	-73.319466
766.601562	-74.143318
767.578125	-73.834572
768.554688	-73.058868
769.531250	-73.949089
770.507812	-73.605133
771.484375	-74.370079
772.460938	-75.324463
773.437500	-74.979095
774.414062	-74.793442
775.390625	-73.696861
776.367188	-75.245110
777.343750	-74.847221
778.320312	-74.692566
779.296875	-75.126648
780.273438	-76.650177
781.250000	-76.679291
782.226562	-76.347115
783.203125	-75.296448
784.179688	-75.024506
785.156250	-75.238304
786.132812	-75.331230
787.109375	-75.986313
788.085938	-74.400948
789.062500	-75.472984
790.039062	-75.872406
791.015625	-76.538925
791.992188	-74.955566
792.968750	-75.350266
793.945312	-75.136452
794.921875	-75.989883
795.898438	-75.296379
796.875000	-75.286613
797.851562	-75.064369
798.828125	-74.475159
799.804688	-74.072609
800.781250	-75.593422
801.757812	-75.674103
802.734375	-75.616722
803.710938	-75.366249
804.687500	-75.631165
805.664062	-75.315834
806.640625	-75.949249
807.617188	-75.547882
808.593750	-74.986710
809.570312	-74.983452
810.546875	-75.293167
811.523438	-76.704277
812.500000	-75.629471
813.476562	-74.307838
814.453125	-75.132263
815.429688	-74.865349
816.406250	-74.262131
817.382812	-75.058296
818.359375	-73.934341
819.335938	-75.020180
820.312500	-74.256004
821.289062	-74.487144
822.265625	-75.351280
823.242188	-73.513779
824.218750	-74.264282
825.195312	-74.063545
826.171875	-74.812927
827.148438	-72.881538
828.125000	-74.303909
829.101562	-74.292450
830.078125	-73.991776
831.054688	-73.461159
832.031250	-73.239876
833.007812	-73.383415
833.984375	-73.463409
834.960938	-73.518105
835.937500	-73.346161
836.914062	-72.715202
837.890625	-73.838402
838.867188	-73.018929
839.843750	-73.604324
840.820312	-73.277916
841.796875	-71.968048
842.773438	-71.924042
843.750000	-72.677589
844.726562	-70.608803
845.703125	-72.230949
846.679688	-72.046043
847.656250	-70.238503
848.632812	-69.885834
849.609375	-69.879082
850.585938	-69.711044
851.562500	-69.839142
852.539062	-69.465553
853.515625	-69.028954
854.492188	-68.620804
855.468750	-68.456589
856.445312	-67.813499
857.421875	-67.049088
858.398438	-67.309517
859.375000	-66.340668
860.351562	-65.622482
861.328125	-65.830902
862.304688	-65.138367
863.281250	-65.280411
864.257812	-63.825558
865.234375	-63.990280
866.210938	-62.240551
867.187500	-62.434700
868.164062	-60.987511
869.140625	-60.633137
870.117188	-59.687256
871.093750	-59.598610
872.070312	-58.542755
873.046875	-58.685585
874.023438	-58.444744
875.000000	-59.618267
875.976562	-59.015285
876.953125	-59.653610
877.929688	-60.663280
878.906250	-60.860893
879.882812	-61.405643
880.859375	-61.415569
881.835938	-61.445259
882.812500	-63.061993
883.789062	-63.258141
884.765625	-63.989109
885.742188	-64.512115
886.718750	-64.530281
887.695312	-65.558006
888.671875	-65.256325
889.648438	-64.688606
890.625000	-67.485207
891.601562	-67.667061
892.578125	-68.457466
893.554688	-68.718216
894.531250	-68.651428
895.507812	-69.098854
896.484375	-69.264977
897.460938	-69.864143
898.437500	-70.492355
899.414062	-70.132965
900.390625	-70.029716
901.367188	-69.230270
902.343750	-69.773277
903.320312	-70.803986
904.296875	-71.136856
905.273438	-70.350128
906.250000	-70.453659
907.226562	-70.856941
908.203125	-72.178795
909.179688	-72.650223
910.156250	-72.412094
911.132812	-71.771782
912.109375	-70.657806
913.085938	-73.508881
914.062500	-72.699951
915.039062	-73.033958
916.015625	-74.509163
916.992188	-72.566437
917.968750	-72.642883
918.945312	-73.460892
919.921875	-73.791985
920.898438	-72.483841
921.875000	-73.578178
922.851562	-74.790680
923.828125	-72.924583
924.804688	-73.705597
925.781250	-73.821136
926.757812	-72.899704
927.734375	-74.276054
928.710938	-74.861809
929.687500	-74.089378
930.664062	-73.607491
931.640625	-73.832718
932.617188	-73.789368
933.593750	-74.676422
934.570312	-74.862274
935.546875	-73.208557
936.523438	-74.310608
937.500000	-74.176842
938.476562	-74.518814
939.453125	-74.286865
940.429688	-74.155106
941.406250	-73.712036
942.382812	-73.996399
943.359375	-75.397392
944.335938	-75.824013
945.312500	-73.823318
946.289062	-74.306671
947.265625	-73.954048
948.242188	-74.768379
949.218750	-74.205399
950.195312	-73.630203
951.171875	-74.684967
952.148438	-74.134613
953.125000	-73.382622
954.101562	-74.993568
955.078125	-74.177414
956.054688	-73.941292
957.031250	-73.360809
958.007812	-74.453964
958.984375	-74.409035
959.960938	-75.327393
960.937500	-75.163750
961.914062	-74.105766
962.890625	-73.828140
963.867188	-73.068161
964.843750	-73.377861
965.820312	-74.060532
966.796875	-73.690331
967.773438	-74.733467
968.750000	-73.803459
969.726562	-73.212036
970.703125	-72.224030
971.679688	-72.756828
972.656250	-72.287270
973.632812	-72.055618
974.609375	-71.580078
975.585938	-72.088936
976.562500	-72.263786
977.539062	-71.882896
978.515625	-71.952820
979.492188	-71.084763
980.468750	-70.889610
981.445312	-71.801346
982.421875	-71.327805
983.398438	-70.260452
984.375000	-71.836792
985.351562	-71.100456
986.328125	-70.419189
987.304688	-69.099106
988.281250	-69.958176
989.257812	-71.696663
990.234375	-70.156044
991.210938	-69.810951
992.187500	-68.417526
993.164062	-68.992577
994.140625	-68.894188
995.117188	-68.187798
996.093750	-68.229935
997.070312	-68.560989
998.046875	-67.601784
999.023438	-67.099968
1000.000000	-66.722298
1000.976562	-64.266586
1001.953125	-65.397644
1002.929688	-64.089363
1003.906250	-65.054207
1004.882812	-64.040710
1005.859375	-62.262798
1006.835938	-63.203514
1007.812500	-62.168232
1008.789062	-62.901543
1009.765625	-61.265575
1010.742188	-61.449764
1011.718750	-60.421066
1012.695312	-60.963081
1013.671875	-59.975662
1014.648438	-57.737396
1015.625000	-57.553844
1016.601562	-56.782211
1017.578125	-56.626522
1018.554688	-56.784599
1019.531250	-55.934368
1020.507812	-56.755985
1021.484375	-57.179256
1022.460938	-58.520084
1023.437500	-58.975254
1024.414062	-60.385941
1025.390625	-58.915997
1026.367188	-61.144913
1027.343750	-59.611870
1028.320312	-62.795166
1029.296875	-62.058208
1030.273438	-62.704754
1031.250000	-64.096436
1032.226562	-64.333023
1033.203125	-64.359512
1034.179688	-64.782028
1035.156250	-65.275711
1036.132812	-64.962440
1037.109375	-66.061600
1038.085938	-67.924118
1039.062500	-66.631447
1040.039062	-68.401665
1041.015625	-67.391785
1041.992188	-67.458290
1042.968750	-68.696587
1043.945312	-67.766823
1044.921875	-67.868134
1045.898438	-67.124863
1046.875000	-67.879066
1047.851562	-68.065918
1048.828125	-70.361511
1049.804688	-69.749374
1050.781250	-68.763130
1051.757812	-69.366684
1052.734375	-71.944244
1053.710938	-70.897560
1054.687500	-69.865593
1055.664062	-69.623062
1056.640625	-71.213280
1057.617188	-71.794289
1058.593750	-71.536530
1059.570312	-70.909691
1060.546875	-70.861610
1061.523438	-70.952370
1062.500000	-72.465157
1063.476562	-72.582497
1064.453125	-73.141998
1065.429688	-72.893417
1066.406250	-72.894844
1067.382812	-72.167252
1068.359375	-71.961868
1069.335938	-70.160431
1070.312500	-72.494919
1071.289062	-73.952393
1072.265625	-71.622154
1073.242188	-71.742371
1074.218750	-71.326324
1075.195312	-71.983788
1076.171875	-73.283783
1077.148438	-72.423019
1078.125000	-73.586945
1079.101562	-73.172897
1080.078125	-72.913284
1081.054688	-73.070602
1082.031250	-72.974701
1083.007812	-73.230881
1083.984375	-73.216080
1084.960938	-72.746811
1085.937500	-73.287849
1086.914062	-72.526604
1087.890625	-71.020142
1088.867188	-74.369598
1089.843750	-75.047043
1090.820312	-73.436226
1091.796875	-74.379219
1092.773438	-71.957603
1093.750000	-72.875443
1094.726562	-74.487373
1095.703125	-72.444908
1096.679688	-72.112343
1097.656250	-73.847755
1098.632812	-72.992401
1099.609375	-71.328323
1100.585938	-72.685402
1101.562500	-71.931107
1102.539062	-72.367020
1103.515625	-72.229919
1104.492188	-72.314095
1105.468750	-72.524918
1106.445312	-72.021355
1107.421875	-72.084000
1108.398438	-71.587578
1109.375000	-73.525795
1110.351562	-72.266518
1111.328125	-72.561394
1112.304688	-71.682274
1113.281250	-71.657715
1114.257812	-71.614960
1115.234375	-70.781509
1116.210938	-72.418953
1117.187500	-70.820061
1118.164062	-71.708061
1119.140625	-70.824593
1120.117188	-70.015961
1121.093750	-70.262436
1122.070312	-69.969276
1123.046875	-69.084877
1124.023438	-69.613922
1125.000000	-69.963715
1125.976562	-68.730247
1126.953125	-70.712631
1127.929688	-69.921280
1128.906250	-68.742683
1129.882812	-69.336617
1130.859375	-67.908241
1131.835938	-68.796463
1132.812500	-67.344696
1133.789062	-68.133560
1134.765625	-68.226364
1135.742188	-68.832710
1136.718750	-66.733513
1137.695312	-67.333572
1138.671875	-66.617355
1139.648438	-66.363121
1140.625000	-65.578865
1141.601562	-65.572784
1142.578125	-66.260826
1143.554688	-64.639221
1144.531250	-66.413025
1145.507812	-64.712234
1146.484375	-65.190956
1147.460938	-64.304123
1148.437500	-62.599918
1149.414062	-63.455921
1150.390625	-62.576466
1151.367188	-61.799065
1152.343750	-60.918797
1153.320312	-59.713764
1154.296875	-61.398430
1155.273438	-60.136677
1156.250000	-59.907284
1157.226562	-59.990032
1158.203125	-59.146862
1159.179688	-58.036449
1160.156250	-57.817425
1161.132812	-59.482658
1162.109375	-58.894890
1163.085938	-58.312508
1164.062500	-58.421696
1165.039062	-59.045231
1166.015625	-58.078041
1166.992188	-58.798126
1167.968750	-59.798935
1168.945312	-58.824928
1169.921875	-59.819874
1170.898438	-60.630150
1171.875000	-60.269932
1172.851562	-61.693409
1173.828125	-62.257565
1174.804688	-62.252644
1175.781250	-62.542496
1176.757812	-63.131561
1177.734375	-64.108124
1178.710938	-65.439362
1179.687500	-64.350754
1180.664062	-65.654922
1181.640625	-64.636620
1182.617188	-65.303055
1183.593750	-65.466278
1184.570312	-66.939926
1185.546875	-66.372627
1186.523438	-65.653145
1187.500000	-67.472092
1188.476562	-67.970970
1189.453125	-66.790817
1190.429688	-67.276909
1191.406250	-67.450180
1192.382812	-67.906898
1193.359375	-68.313034
1194.335938	-67.465118
1195.312500	-68.567551
1196.289062	-69.579880
1197.265625	-69.875618
1198.242188	-70.109520
1199.218750	-70.636230
1200.195312	-70.209213
1201.171875	-69.352028
1202.148438	-69.814964
1203.125000	-69.417572
1204.101562	-71.238937
1205.078125	-69.988075
1206.054688	-71.024658
1207.031250	-71.052567
1208.007812	-70.222603
1208.984375	-70.790512
1209.960938	-71.103531
1210.937500	-71.686836
1211.914062	-72.475784
1212.890625	-71.101021
1213.867188	-71.486595
1214.843750	-72.570137
1215.820312	-71.784096
1216.796875	-71.955551
